,pred,truth
420,0.06912507,0.06751271
421,0.06912507,0.06751271
422,0.06912507,0.06751271
423,0.06912507,0.06751271
424,0.06912508,0.06751271
425,0.06912508,0.06751271
426,0.06912507,0.06751271
427,0.06912506,0.06751271
428,0.06912506,0.06751271
429,0.06912508,0.06751271
430,0.06912507,0.06751271
431,0.06912508,0.06751271
432,0.06912506,0.06751271
433,0.06912507,0.06751271
434,0.06912506,0.06751271
435,0.06912506,0.06751271
436,0.06912507,0.06751271
437,0.06912506,0.06751271
438,0.06912507,0.06751271
439,0.06912507,0.06751271
440,0.06912506,0.06751271
441,0.06912507,0.06751271
442,0.06912507,0.06751271
443,0.06912506,0.06751271
444,0.06912506,0.06751271
445,0.06912506,0.06751271
446,0.06912506,0.06751271
447,0.06912506,0.06751271
448,0.069125056,0.06751271
449,0.069125056,0.06751271
