,pred_sin,truth_sin,pred_cos,truth_cos,pred_cubic,truth_cubic
63,0.84015095,0.91701674,0.53659195,0.36368313,-0.07056698,-0.19509956
64,0.8494399,0.9025992,0.52598417,0.4412799,-0.083818614,-0.2447773
65,0.858744,0.89452225,0.5150457,0.4346488,-0.09722686,-0.083511665
66,0.8681907,0.85568655,0.5035436,0.4992705,-0.11100358,-0.22868125
67,0.8779048,0.8180868,0.4912338,0.4513431,-0.12535891,-0.17948377
68,0.88798845,0.891051,0.47788456,0.36265945,-0.14047527,-0.3655068
69,0.89849854,0.739085,0.46331504,0.47164053,-0.15647462,-0.30372608
70,0.9094149,1.1094483,0.44744992,0.3426129,-0.17338096,-0.015596374
71,0.9206165,0.92424476,0.43037483,0.1474748,-0.19108422,-0.42399636
72,0.9318801,0.92670053,0.41236612,0.1908755,-0.20932208,-0.15827003
73,0.94291675,0.81365234,0.39385253,0.24227436,-0.22770599,-0.31216165
74,0.9534409,0.93976694,0.37530398,0.15284015,-0.2457956,-0.33597758
75,0.9632323,0.9622903,0.35710132,0.2477015,-0.2632,-0.29481956
76,0.9721649,1.0720458,0.33945602,0.248166,-0.27965048,-0.5284348
77,0.98019934,0.88325715,0.3224034,0.13850336,-0.29502043,-0.44845253
78,0.98736,1.139599,0.30583706,0.16245435,-0.3093037,-0.4873843
79,0.9937121,1.0629642,0.289551,0.1743566,-0.32258245,-0.28863358
80,0.9993409,1.0864633,0.27327752,0.31768617,-0.33499655,-0.3353319
81,1.0043349,1.0080322,0.25673115,0.16901919,-0.34672052,-0.38797632
82,1.008768,0.99368125,0.23966485,0.1446988,-0.35794345,-0.44788864
83,1.0126828,0.98936456,0.2219356,0.00951442,-0.36884978,-0.39256626
84,1.0160794,1.0653131,0.20355621,0.05342582,-0.37960234,-0.39890248
85,1.0189162,0.8886811,0.18469852,0.12753657,-0.3903297,-0.24482167
86,1.0211266,1.03284,0.165637,0.14920746,-0.40111992,-0.61555666
87,1.0226403,0.9907723,0.1466579,0.023251222,-0.4120264,-0.4988537
88,1.0234051,0.9112094,0.12798232,-0.016297186,-0.4230826,-0.47501963
89,1.0233946,0.95470846,0.1097295,0.16839285,-0.43432006,-0.35073406
90,1.022611,0.9989876,0.09192248,0.10072099,-0.4457797,-0.5535829
91,1.0210824,1.0100498,0.07451917,0.04189587,-0.45751166,-0.7610051
92,1.0188618,1.0128847,0.057452265,-0.10058264,-0.4695595,-0.47209394
93,1.0160257,1.0125978,0.0406666,-0.1368351,-0.481939,-0.4464265
94,1.0126704,0.8520955,0.02414168,-0.051945925,-0.4946162,-0.6339206
95,1.008902,0.93218344,0.007896762,-0.101501465,-0.50749993,-0.3880051
96,1.0048245,0.87338525,-0.008024197,-0.20254444,-0.5204538,-0.528975
97,1.0005293,1.0521305,-0.02357296,0.07837536,-0.533324,-0.388994
98,0.99609625,1.005764,-0.038708255,-0.10464314,-0.54596066,-0.7054795
99,0.99160695,1.1706703,-0.05338701,-0.1381585,-0.5582211,-0.5855669
100,0.98716044,1.1118772,-0.06754482,-0.2169574,-0.56995845,-0.6763114
101,0.982875,0.8676703,-0.081091955,-0.21847068,-0.5810186,-0.5496026
102,0.9788647,0.9182923,-0.09394032,-0.12824832,-0.59126735,-0.5762668
103,0.9752068,0.94877636,-0.10604772,-0.28715393,-0.60062706,-0.56807417
104,0.97192293,0.8558636,-0.11744875,-0.12533738,-0.6091002,-0.71893805
105,0.9689847,0.97143114,-0.12825567,-0.15067852,-0.61676073,-0.5602038
106,0.9663334,0.83608645,-0.13863878,-0.34414393,-0.62372744,-0.6464705
107,0.9638982,0.8331719,-0.14880131,-0.30185986,-0.63013566,-0.6753554
