,pred_sin,pred_cos,truth_sin,truth_cos
112,0.950086,0.81192964,-0.38370568,-0.37192
113,0.94589525,0.8927869,-0.41670802,-0.23438396
114,0.94207734,1.0749563,-0.41609567,-0.47642317
115,0.9307473,0.7477,-0.42753536,-0.46777555
116,0.9226223,0.94516635,-0.4654024,-0.47795537
117,0.9104859,0.9591938,-0.47271,-0.45184663
118,0.9083422,0.90659136,-0.4794428,-0.6283525
119,0.8925101,0.8035335,-0.5058238,-0.49924105
120,0.8845118,0.74060154,-0.52682275,-0.4264469
121,0.87636137,0.89480853,-0.54021436,-0.42914414
122,0.87364167,0.8997768,-0.53608936,-0.4873379
123,0.8703258,0.81512034,-0.54278034,-0.4761091
124,0.8642455,0.73286325,-0.5565915,-0.5637726
125,0.84543467,0.99148756,-0.582551,-0.5056926
126,0.8454643,0.7440545,-0.5711271,-0.6014371
127,0.8304552,0.7561816,-0.60230356,-0.7604334
128,0.7962988,0.77030474,-0.63453805,-0.52775085
129,0.79532397,0.9189378,-0.64190805,-0.69736683
130,0.7829258,0.7575245,-0.64301133,-0.5862452
131,0.7791202,0.9139496,-0.6602335,-0.67346096
132,0.77063906,0.78195983,-0.65750104,-0.77642775
133,0.74798024,0.87299764,-0.68640274,-0.63611835
134,0.7493033,0.8398094,-0.6847267,-0.69721544
135,0.74118435,0.8426396,-0.6940117,-0.5904061
136,0.7466983,0.6942862,-0.69246507,-0.6650263
137,0.7301351,0.59501773,-0.7140599,-0.75835204
138,0.69507444,0.66750866,-0.74740934,-0.9738264
139,0.6471499,0.47367415,-0.7781989,-0.77997524
140,0.6181772,0.7291782,-0.8154558,-0.9235884
141,0.59950477,0.70078135,-0.81281716,-0.8171247
142,0.60260856,0.61195457,-0.81955683,-0.6923795
143,0.6068561,0.70445555,-0.8221879,-0.72127295
144,0.61322784,0.5500286,-0.8115996,-0.70509994
145,0.6065758,0.56675816,-0.82373536,-0.7409986
146,0.5952582,0.5389996,-0.8279611,-0.908595
147,0.56554776,0.64029837,-0.84489954,-0.6943756
148,0.57750785,0.45320874,-0.83809143,-0.7579041
149,0.5559018,0.7260825,-0.85562205,-0.75851053
150,0.5666633,0.3393374,-0.83569264,-1.0237368
151,0.50742745,0.57333255,-0.8813078,-0.96145314
152,0.4918609,0.45637926,-0.88099843,-1.0158657
153,0.4631506,0.39425042,-0.9010937,-0.83423185
154,0.44828728,0.6112062,-0.91332215,-0.78042865
155,0.4661413,0.5168648,-0.8941488,-0.89815617
156,0.45908222,0.23841286,-0.90075004,-0.689168
157,0.4337441,0.39719877,-0.9231821,-0.9070102
158,0.41041443,0.3307627,-0.9190199,-0.79966336
159,0.39660192,0.39306292,-0.93097866,-0.83859843
160,0.38781822,0.12049255,-0.9288029,-0.79936564
161,0.34433296,0.24532753,-0.9501499,-0.96368223
162,0.31381214,0.19240811,-0.9475597,-1.0047983
163,0.28184882,0.19130696,-0.9571954,-1.0283382
164,0.25308672,0.3943704,-0.9599376,-0.9491942
165,0.26472324,0.29109928,-0.952015,-1.0482424
166,0.2534446,0.18463102,-0.9574141,-0.99373865
167,0.2291006,0.14768897,-0.96392655,-0.8517332
168,0.2051798,0.15270072,-0.9653165,-0.9473406
169,0.17606783,0.06075682,-0.96454126,-0.86581814
170,0.13512191,0.116205394,-0.97324574,-0.9758122
171,0.10182993,0.045044,-0.9728671,-0.9988961
172,0.063215315,0.15845306,-0.9785592,-1.1134995
173,0.04743242,0.18602726,-0.9753195,-1.1112972
174,0.042622667,0.2543927,-0.9796451,-1.1131659
175,0.05149677,0.15012278,-0.9807691,-0.9833357
176,0.04774328,0.12917969,-0.9877786,-1.0751042
177,0.03674112,0.017993795,-0.9857514,-0.870969
178,0.01697893,0.06691409,-0.9899334,-0.88995117
179,0.006380126,-0.021077076,-0.9828477,-0.9419598
180,-0.017912213,-0.063582286,-0.98302835,-1.0908402
181,-0.047978275,-0.07618559,-0.98099846,-1.0884856
182,-0.07451004,-0.17961892,-0.9828558,-1.0015405
183,-0.11374761,-0.06745488,-0.98694545,-0.99723285
184,-0.13269106,0.04470755,-0.986742,-0.8496928
185,-0.12836279,-0.0636,-0.9898589,-1.2008922
186,-0.15300351,-0.2520629,-0.9976999,-0.7193509
187,-0.19076164,-0.044104047,-1.0048008,-0.90760344
188,-0.19031835,-0.24130215,-0.9947595,-0.9956034
189,-0.21927999,-0.16159955,-1.001737,-0.9034956
190,-0.2273743,-0.2578018,-0.9979799,-0.802454
191,-0.25028637,-0.13517976,-0.99438095,-0.79579
192,-0.24976341,-0.22699879,-0.9876472,-1.157413
193,-0.25933963,-0.10877129,-0.98952943,-1.1738498
194,-0.24725424,-0.039999284,-0.99364233,-0.99415076
195,-0.23052037,-0.44993043,-0.9993586,-1.093343
196,-0.27555892,-0.2666544,-0.99803185,-1.0304056
197,-0.28242886,-0.33826494,-0.98845035,-0.908295
198,-0.3034086,-0.14635983,-0.98358774,-0.8338137
199,-0.29455715,-0.10852377,-0.97747415,-0.92651874
200,-0.2818557,-0.17825654,-0.98056364,-0.67814785
201,-0.28967753,-0.3115072,-0.9797073,-1.061478
202,-0.3067593,-0.2680784,-0.97531784,-0.82176954
203,-0.31861028,-0.56316346,-0.972567,-0.74317294
204,-0.38217613,-0.3539496,-0.94975024,-1.0879413
205,-0.38332868,-0.41725898,-0.941929,-0.88652265
206,-0.4073045,-0.44218007,-0.93899554,-0.86445564
207,-0.4321293,-0.42742196,-0.92531705,-1.030549
